l_num_reflectors,l_reflector_angle,l_reflector_depth,l_start_offset,l_finish_offset,r_num_reflectors,r_reflector_angle,r_reflector_depth,r_start_offset,r_finish_offset,avg_angle,angle_diff,total_depth,avg_depth,num_total,num_diff,spacing_asym,DrumDeadT30,DrumLiveT30,DrumDiffusion,VocalT30,VocalDiffusion,experiment
3,40.56,30.62,11.56,29.33,6,50.79,44.42,66.56,97.29,45.675,10.229999999999997,75.04,37.52,9,3,122.96000000000001,161.99896378349624,,0.400667323899185,213.9204884400624,0.4437155352702395,nimble_hedgehog-results
9,66.81,41.13,64.83,68.09,4,47.43,42.0,61.08,17.17,57.120000000000005,19.380000000000003,83.13,41.565,13,5,54.67,162.98662946180204,,0.4080920373614882,222.8896030892476,0.4581920873656309,elegant_jaguar-results
6,45.5,34.83,86.43,74.42,6,16.24,26.7,52.58,64.52,30.869999999999997,29.26,61.53,30.765,12,0,43.750000000000014,194.95422737053755,,0.3994723428653227,242.4023062871541,0.45695039228632794,fiery_kiwi-results
9,65.21,22.72,88.43,14.46,9,56.92,26.24,34.37,45.47,61.065,8.289999999999992,48.959999999999994,24.479999999999997,18,0,85.07000000000001,175.21222387893403,,0.4040192567656852,228.19984092495505,0.4632960690532809,nimble_cougar-results
5,10.94,36.1,65.21,58.7,3,69.03,18.43,38.31,12.61,39.985,58.09,54.53,27.265,8,2,72.99,170.45672983163112,,0.409292449550556,232.73949046415134,0.43918424444086246,elegant_wolf-results
3,29.81,44.63,55.34,91.2,10,64.98,10.07,54.67,82.21,47.395,35.17,54.7,27.35,13,7,9.66000000000001,192.8118867762258,,0.41586952064609833,240.57955905605462,0.4535999627531707,silent_heron-results
9,47.52,14.79,28.37,47.93,4,13.71,46.44,54.13,35.61,30.615000000000002,33.81,61.23,30.615,13,5,38.08,231.17534031848302,,0.4010521552001811,236.659826419715,0.4673766472123191,glorious_serpent-results
3,43.12,40.85,41.33,30.54,9,12.86,46.19,49.72,34.99,27.99,30.259999999999998,87.03999999999999,43.519999999999996,12,6,12.840000000000003,169.57569803988656,,0.38997534590593463,224.5125332555439,0.4551822543120837,lucky_hedgehog-results
8,62.3,19.7,36.81,76.29,3,30.26,23.5,39.06,65.18,46.28,32.03999999999999,43.2,21.6,11,5,13.36,162.66232212578598,,0.402840240602476,220.7766866945973,0.45326346603042406,brazen_whale-results
5,51.7,37.96,10.68,81.55,4,38.44,21.02,46.43,60.39,45.07,13.260000000000005,58.980000000000004,29.490000000000002,9,1,56.91,164.41226611299183,,0.4004812063325398,217.0154797170583,0.44848256501904726,brave_cougar-results
9,36.8,45.3,59.63,12.25,9,32.47,23.81,35.95,29.91,34.635,4.329999999999998,69.11,34.555,18,0,41.34,210.47681053803453,,0.41666230016686845,244.04049616627992,0.44876089034971023,gleaming_stag-results
10,32.86,12.36,27.58,16.37,8,37.01,11.28,22.81,86.87,34.935,4.149999999999999,23.64,11.82,18,2,75.27,183.12139783673305,,0.4105721359358414,235.5945382909449,0.4573487840573967,brave_bear-results
7,36.97,30.35,35.99,14.08,10,61.39,28.09,79.15,57.99,49.18,24.42,58.44,29.22,17,3,87.07000000000001,181.2077823182405,,0.40691185080987247,228.28809604114088,0.4589401080458475,sturdy_queen-results
5,18.49,35.59,28.77,31.32,10,32.48,35.18,36.27,10.87,25.485,13.989999999999998,70.77000000000001,35.385000000000005,15,5,27.950000000000006,241.86425559650402,,0.3991630820514025,252.85675568714944,0.4597189587964903,bold_serpent-results
3,49.46,41.48,19.0,81.35,7,15.71,15.51,78.28,54.88,32.585,33.75,56.989999999999995,28.494999999999997,10,4,85.75,172.48265247121714,,0.39529904401785587,228.13213563104546,0.45604510162173717,vivid_cheetah-results
6,44.65,16.61,86.9,39.29,6,12.34,17.32,23.97,23.03,28.494999999999997,32.31,33.93,16.965,12,0,79.19,186.51569040645353,,0.3924764961955983,234.6673876251303,0.4588915372939796,brazen_dolphin-results
4,60.23,39.18,45.65,50.39,3,54.75,41.15,71.52,80.78,57.489999999999995,5.479999999999997,80.33,40.165,7,1,56.26,160.93457196854638,,0.37600875861373834,215.65653225758774,0.45022917061060863,stormy_cougar-results
6,32.71,40.21,43.4,52.12,4,15.52,40.22,24.04,86.11,24.115000000000002,17.19,80.43,40.215,10,2,53.35,203.91930810127496,,0.4080512096631635,248.05478846099015,0.45266246499408097,elegant_peacock-results
9,13.59,16.47,70.93,60.89,4,52.27,34.01,75.78,90.04,32.93,38.68000000000001,50.48,25.24,13,5,34.0,221.16001306679945,,0.4316319753567215,243.76500082841255,0.4559001406410875,valiant_panther-results
3,58.1,31.22,87.18,69.81,10,68.83,45.54,52.19,92.6,63.465,10.729999999999997,76.75999999999999,38.379999999999995,13,7,57.78,170.50053247089272,,0.39836830079238317,219.42683660965687,0.4582618680537172,vibrant_falcon-results
6,22.72,23.31,55.97,84.17,8,21.5,23.45,43.55,76.93,22.11,1.2199999999999989,46.76,23.38,14,2,19.659999999999997,314.3270465839808,,0.4000770318760254,254.35383460156424,0.46428955456849846,golden_panther-results
6,31.13,25.18,76.61,30.2,9,15.13,33.57,83.4,94.57,23.13,15.999999999999998,58.75,29.375,15,3,71.16,268.8216998119564,,0.40508420635529063,253.19105995051862,0.4655318304217606,bright_peacock-results
3,62.83,19.03,78.25,38.35,10,51.22,37.28,21.22,69.4,57.025,11.61,56.31,28.155,13,7,88.08000000000001,169.56551708751851,,0.39994828209859645,216.79444766570134,0.4578203796854671,brisk_serpent-results
8,24.01,17.22,33.46,85.8,5,37.92,49.44,44.92,89.76,30.965000000000003,13.91,66.66,33.33,13,3,15.420000000000009,217.5289217946958,,0.4075233330923698,238.8008421396664,0.4561154908683407,elegant_whale-results
9,25.83,24.47,18.86,84.03,3,17.33,39.39,42.39,65.41,21.58,8.5,63.86,31.93,12,6,42.150000000000006,317.0085705792033,,0.4115512134159087,260.5880827560848,0.45379658846031706,gentle_badger-results
8,12.79,34.44,36.0,54.58,3,53.26,34.43,51.34,25.51,33.025,40.47,68.87,34.435,11,5,44.41,178.36653618390497,,0.42312064391651794,238.34691784871563,0.441526391996835,sneaky_cobra-results
9,45.91,45.36,44.52,21.63,6,41.15,14.04,74.93,29.97,43.53,4.759999999999998,59.4,29.7,15,3,38.75,176.5500279071079,,0.4152789784236813,230.65038249800378,0.45296433560970895,stormy_jellyfish-results
7,14.58,20.47,35.72,33.61,4,63.51,19.38,70.96,14.1,39.045,48.93,39.849999999999994,19.924999999999997,11,3,54.74999999999999,175.42040963302048,,0.4236914643622366,232.8712069553446,0.437653422439512,mystic_cobra-results
7,52.47,46.97,44.3,11.33,5,13.98,29.73,78.45,85.34,33.225,38.489999999999995,76.7,38.35,12,2,108.16000000000001,173.70082807125,,0.404297847198434,222.93351812095977,0.45445679005308004,brave_ibis-results
4,65.03,10.26,43.03,64.31,8,44.5,40.41,15.17,25.88,54.765,20.53,50.669999999999995,25.334999999999997,12,4,66.29,160.788486164029,,0.3951734732196386,207.21405809424633,0.4522704828873384,sturdy_badger-results
7,22.33,33.82,58.09,12.3,9,35.17,43.52,19.62,76.87,28.75,12.840000000000003,77.34,38.67,16,2,103.04,242.95560078240683,,0.40826565302310364,247.11240842464696,0.46575675843900544,shadowy_raven-results
8,14.47,28.82,47.57,58.71,9,14.52,48.12,63.75,18.52,14.495000000000001,0.049999999999998934,76.94,38.47,17,1,56.37,390.6354679415111,,0.3718289864403161,277.4224738601599,0.4450750320578559,gentle_otter-results
9,52.73,37.09,33.36,24.87,9,59.06,14.66,97.53,61.46,55.894999999999996,6.330000000000005,51.75,25.875,18,0,100.76,186.87658852940345,,0.41759856057367295,234.89513777187432,0.4647038601719975,daring_eagle-results
8,37.82,13.57,19.11,97.36,3,22.82,23.98,30.97,39.43,30.32,15.0,37.55,18.775,11,5,69.78999999999999,179.22489180720626,,0.41995865276512323,235.37405616831742,0.45553850173910604,elegant_eagle-results
9,41.08,26.7,77.75,63.01,5,43.72,46.34,45.56,52.04,42.4,2.6400000000000006,73.04,36.52,14,4,43.16,186.01223107244238,,0.40097736869160183,236.41724286918645,0.4596687633993509,jolly_badger-results
